id,parent_id,leaf,name,label,detail,link,pmid,sort,root_url,sample_url,field_type,keyword_searchable,value_type,version
0,,FALSE,root,Annotation,,,,0,,,,,,
1,0,FALSE,Basic Info,,"Basic information about the variant, such as chromosome number, position, etc.",,,1,,,,,,
26,0,FALSE,ANNOVAR,,Pre-computed ANNOVAR annotations for all alternative SNVs based on human reference genome hg19,http://annovar.openbioinformatics.org/en/latest/user-guide/download/,20601685,2,,,,,,6/7/2020 23:56
208,0,FALSE,SnpEff,,SnpEff is a program for annotating and predicting the effects of single nucleotide polymorphisms,http://pcingola.github.io/SnpEff/,22728672,3,,,,,,4.3t
132,0,FALSE,VEP,,"Variant Effect Predictor (VEP) is developed by Ensembl and it determines the effect of the variants (SNPs, insertions, deletions, CNVs or structural variants) on genes, transcripts, and protein sequence, as well as regulatory regions. ",https://uswest.ensembl.org/info/docs/tools/vep/index.html,27268795,4,,,,,,ensembl-vep-release-107
83,0,FALSE,AnnoQ Functional Annotations,PANTHER Functional Annotation,Functional annotation of a variant through PANTHER API.,https://pantherdb.org,33290554,5,,,,,,PANTHER UPL 18
7,0,FALSE,IMAGE Enhancer Linked Functional Annotations,PEREGRINE Functional Annotations,"When the variant is located in an enhancer region, the functions of its target gene inferred from the enhancer-gene links in the PEREGRINE project The ontology terms are annotated here.",https://www.peregrineproj.org/,33320871,6,,,,,,Initial Release
288,0,FALSE,allele frequencies,,,,,,,,,,,
469,0,FALSE,disease related databases,,,,,,,,,,,
495,0,FALSE,others,,,,,,,,,,,dbNSFP v4.3c
2,1,TRUE,chr,,Chromosome number of the variant.,,,,,,text,TRUE,,HRC.r1-1
3,1,TRUE,pos,,Position of the variant.,,,,,,long,,,HRC.r1-1
4,1,TRUE,ref,,The reference base of the variant.,,,,,,text,TRUE,,HRC.r1-1
5,1,TRUE,alt,,The alternative allele of the variant.,,,,,,text,TRUE,,HRC.r1-1
6,1,TRUE,rs_dbSNP151,rs ID,dbSNP ID if available. The current release supports rs IDs from dbSNP build 151.,,,,https://www.ncbi.nlm.nih.gov/snp/,https://www.ncbi.nlm.nih.gov/snp/rs6883035,text,TRUE,,HRC.r1-1
9,7,TRUE,enhancer_linked_GO_biological_process_complete_list_id,PEREGRINE enhancer linked GO biological process complete,"When the variant is located in an enhancer region, the complete GO biological process annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,TRUE,term_id,"GO database released 2024-01-17, DOI: 10.5281/zenodo.10536401"
11,7,TRUE,enhancer_linked_GO_cellular_component_complete_list_id,PEREGRINE enhancer linked GO cellular component complete,"When the variant is located in an enhancer region, the complete GO cellular component annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,TRUE,term_id,"GO database released 2024-01-17, DOI: 10.5281/zenodo.10536401"
13,7,TRUE,enhancer_linked_GO_molecular_function_complete_list_id,PEREGRINE enhancer linked GO molecular function complete,"When the variant is located in an enhancer region, the complete GO molecular function annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,TRUE,term_id,"GO database released 2024-01-17, DOI: 10.5281/zenodo.10536401"
15,7,TRUE,enhancer_linked_PANTHER_GO_SLIM_biological_process_list_id,PEREGRINE enhancer linked PANTHER GO-Slim biological process,"When the variant is located in an enhancer region, the PANTHER GO-Slim Biological Process annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,TRUE,term_id,"GO release 2023-07-25, released 2023-08-01"
17,7,TRUE,enhancer_linked_PANTHER_GO_SLIM_cellular_component_list_id,PEREGRINE enhancer linked PANTHER GO-Slim cellular component,"When the variant is located in an enhancer region, the PANTHER GO-Slim Cellular Component annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,TRUE,term_id,"GO release 2023-07-25, released 2023-08-01"
19,7,TRUE,enhancer_linked_PANTHER_GO_SLIM_molecular_function_list_id,PEREGRINE enhancer linked PANTHER GO-Slim molecular function,"When the variant is located in an enhancer region, the PANTHER GO-Slim Molecular Function annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,http://amigo.geneontology.org/amigo/term/,,text,TRUE,term_id,"GO release 2023-07-25, released 2023-08-01"
626,7,TRUE,enhancer_linked_PANTHER_protein_class_list_id,PEREGRINE enhancer linked PANTHER protein class,"When the variant is located in an enhancer region, the PANTHER Protein Class annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,https://pantherdb.org/panther/category.do?categoryAcc=,,text,TRUE,term_id,PANTHER UPL 18
20,7,TRUE,enhancer_linked_PANTHER_pathway_list_id,PEREGRINE enhancer linked PANTHER pathways,"When the variant is located in an enhancer region, the PANTHER pathway annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,https://pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=,,text,TRUE,term_id,PANTHER UPL 18
22,7,TRUE,enhancer_linked_REACTOME_pathway_list_id,PEREGRINE enhancer linked Reactome pathways,"When the variant is located in an enhancer region, the Reactome pathway annotations of its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,https://reactome.org/PathwayBrowser/#/,,text,TRUE,term_id,"Reactome database version 85, released 2023-05-25"
23,7,TRUE,enhancer_linked_assay,PEREGRINE enhancer linked assay,"When the variant is located in an enhancer region, the assay data used to infer its link to the target genes by the PEREGRINE project are listed here. For example, single tissue eQTL, interactive TAD, ChIA-PET. These assays are usually tissue-specific. The tissue data is in the 'PEREGRINE_enhancer_linked_tissue' annotation.",https://www.peregrineproj.org/,33320871,,,,,,,
24,7,TRUE,enhancer_linked_genes,PEREGRINE enhancer linked genes,"When the variant is located in an enhancer region, its target genes inferred from the enhancer-gene links in the PEREGRINE project are populated here.",https://www.peregrineproj.org/,33320871,,https://pantherdb.org/genes/gene.do?acc=,,text,TRUE,panther_long_gene_id,
